編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLLKNHHGFCJ58DA,雞油凸段三叉凸小段,298.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,03030018
RPSOMLRKNHHGFBJ88EA,社南段,23.03,都市：其他:道路用地,3,1,持分移轉,06550000
RPWNMLOJNHHGFCJ78DA,旭光段,21.00,都市：其他:住一,10000,92,持分移轉,03420000
RPWNMLOJNHHGFCJ78DA,旭光段,.84,都市：其他:公園兼兒童遊樂場,10000,92,持分移轉,03420001
RPWNMLOJNHHGFCJ78DA,旭光段,.11,都市：其他:道路用地,10000,92,持分移轉,03420002
RPPNMLQKNHHGFCJ38DA,新頭分林段,139.10,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07430000
RPRPMLMKNHHGFBJ28DA,社北段,8.24,都市：住,1,1,全筆移轉,00700001
RPQOMLTKNHHGFCJ98EA,資源段,22.50,都市：其他:住宅區,2,1,持分移轉,06580000
RPRQMLKKNHHGFBJ18DA,和平段,10.27,都市：其他:道路用地,1,1,全筆移轉,07020000
RPRQMLKKNHHGFBJ18DA,和平段,32.06,都市：其他:道路用地,1,1,全筆移轉,07030000
RPRQMLKKNHHGFBJ18DA,和平段,362.44,都市：其他:道路用地,1,1,全筆移轉,11050000
RPUNMLTKNHHGFBJ09DA,中興段,5.64,都市：其他:第三種商業區,900000,34380,持分移轉,05060000
RPUNMLTKNHHGFBJ09DA,中興段,.14,都市：其他:第三種商業區,900000,34380,持分移轉,05070000
RPOOMLKLNHHGFCJ87DA,神木段,85.88,非都市：山坡地保育區 ; 非都市編定：農牧用地,54,12,持分移轉,12700000
RPOOMLLKNHHGFBJ77DA,下橫坑段,44.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,6,1,持分移轉,08780000
RPSNMLRJNHHGFBJ58DA,東海窟段旱坑子小段,90.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00540007
RPPOMLKLNHHGFBJ87DA,中興段,101.21,都市：其他:道路用地,1,1,全筆移轉,05220001
RPPOMLKLNHHGFBJ87DA,中興段,15.12,都市：其他:道路用地,1,1,全筆移轉,05220002
RPPOMLKLNHHGFBJ87DA,中興段,17.55,都市：其他:道路用地,1,1,全筆移轉,05420000
RPUNMLKLNHHGFBJ28DA,興崙段,246.73,都市：其他:農業區,126000,15425,持分移轉,00500000
RPSOMLPJNHHGFDJ68DA,振興段,20.98,都市：其他:住宅區,10000,81,持分移轉,09200000
RPPOMLQKNHHGFCJ48DA,志學段,25.39,都市：其他:科技商務服務專用區,100000,143,持分移轉,03260000
