編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPKJIGGFHN78CB,大發段,23.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,57,1,持分移轉,09230000
RPPNMLPKJIGGFHN78CB,大發段,83.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09230053
RPQNMLRKJIGGFFN88CB,大安段,36.72,都市：住,10000,155,持分移轉,08920000
RPQNMLOKJIGGFDN38CB,和平段,25.30,都市：住,10000,122,持分移轉,11880000
RPPNMLSKJIGGFDN68CB,三義段,28.18,都市：住,10000,135,持分移轉,05190000
RPPNMLRKJIGGFGN88CB,儒芳段,110.00,都市：住,1,1,全筆移轉,13100000
RPPNMLQKJIGGFBN28CB,和群段,35.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,536,持分移轉,12130000
RPQNMLTKJIGGFBN68CB,和群段,36.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,540,持分移轉,12130000
RPPNMLTKJIGGFBN58CB,伸同段,24.24,都市：住,1000000,41399,持分移轉,03100001
RPPNMLQKJIGGFBN28CB,和群段,.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,536,持分移轉,12130027
RPQNMLTKJIGGFBN68CB,和群段,.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,540,持分移轉,12130027
RPPNMLTKJIGGFHN66DB,光平段,17.79,都市：商,100000,1276,持分移轉,05960000
RPQNMLQKJIGGFFN78CB,大安段,36.96,都市：住,10000,156,持分移轉,08920000
RPWNMLMLJIGGFDN88CB,南勢段,92.00,都市：住,1,1,全筆移轉,08110000
RPSNMLMLJIGGFBN28CB,和群段,33.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,503,持分移轉,12130000
RPSNMLMLJIGGFBN28CB,和群段,.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,503,持分移轉,12130027
RPQNMLMLJIGGFBN08CB,和西段,36.63,都市：住,100000,2397,持分移轉,08540001
RPRNMLNLJIGGFEN58CB,東興段,76.41,都市：住,1,1,全筆移轉,04580003
RPQNMLNLJIGGFEN48CB,東興段,75.18,都市：住,1,1,全筆移轉,04580004
RPTNMLOLJIGGFBN58CB,伸股段,31.71,都市：住,53013,3171,持分移轉,03180001
RPUNMLOLJIGGFBN68CB,伸股段,19.86,都市：住,53013,1986,持分移轉,03180001
RPQNMLOLJIGGFAN18CB,阿夷段柴坑子小段,20.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,430,持分移轉,05730000
RPSNMLOLJIGGFAN38CB,阿夷段柴坑子小段,20.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,439,持分移轉,05730000
RPSNMLOLJIGGFBN48CB,伸股段,32.82,都市：住,53013,3282,持分移轉,03180001
RPTNMLOLJIGGFAN48CB,阿夷段柴坑子小段,20.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,439,持分移轉,05730000
RPVNMLOLJIGGFAN68CB,阿夷段柴坑子小段,28.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,606,持分移轉,05730000
RPPNMLPLJIGGFDN48CB,三義段,26.93,都市：住,10000,129,持分移轉,05190000
RPPNMLQLJIGGFAN28CB,南興段,13.48,都市：住,100000,1188,持分移轉,00130002
RPPNMLQLJIGGFAN28CB,南興段,4.47,都市：住,100000,1188,持分移轉,00130006
RPPNMLQLJIGGFAN28CB,南興段,.39,都市：住,100000,1188,持分移轉,00130010
RPSNMLPLJIGGFBN58CB,和西段,37.02,都市：住,100000,2423,持分移轉,08540001
RPQNMLQLJIGGFEN88DB,高鐵社頭段,91.46,都市：住,1,1,全筆移轉,01230020
RPQNMLQLJIGGFEN88DB,高鐵社頭段,22.79,都市：住,1,1,全筆移轉,01230013
RPPNMLRLJIGGFDN68CB,和平段,24.88,都市：住,10000,120,持分移轉,11880000
RPPNMLQLJIGGFCN48CB,東昇段,108.16,都市：住,390800,10816,持分移轉,00570000
RPPNMLQLJIGGFEN78DB,高鐵社頭段,6.86,都市：住,1,1,全筆移轉,01230014
RPPNMLQLJIGGFEN78DB,高鐵社頭段,86.12,都市：住,1,1,全筆移轉,01230015
RPPNMLQLJIGGFEN78DB,高鐵社頭段,22.79,都市：住,1,1,全筆移轉,01230013
RPRNMLRLJIGGFDN88CB,和平段,17.83,都市：住,10000,86,持分移轉,11880000
RPQNMLRLJIGGFDN78CB,和平段,18.87,都市：住,10000,91,持分移轉,11880000
RPPNMLTLJIGGFBN78DB,新盛段,62.76,都市：住,1,1,全筆移轉,00310031
RPPNMLTLJIGGFBN78DB,新盛段,.12,都市：住,35,1,持分移轉,00310031
RPPNMLTLJIGGFBN78DB,新盛段,11.57,都市：住,315,8,持分移轉,00310016
RPPNMLTLJIGGFBN78DB,新盛段,11.41,都市：住,315,8,持分移轉,00310017
RPPNMLKMJIGGFBN97DB,新盛段,64.46,都市：住,1,1,全筆移轉,00310005
RPPNMLKMJIGGFBN97DB,新盛段,.12,都市：住,35,1,持分移轉,00310031
RPPNMLKMJIGGFBN97DB,新盛段,11.57,都市：住,315,8,持分移轉,00310016
RPPNMLKMJIGGFBN97DB,新盛段,11.41,都市：住,315,8,持分移轉,00310017
RPQNMLTLJIGGFBN88DB,新盛段,65.64,都市：住,1,1,全筆移轉,00310029
RPQNMLTLJIGGFBN88DB,新盛段,.12,都市：住,35,1,持分移轉,00310031
RPQNMLTLJIGGFBN88DB,新盛段,11.57,都市：住,315,8,持分移轉,00310016
RPQNMLTLJIGGFBN88DB,新盛段,11.41,都市：住,315,8,持分移轉,00310017
RPQNMLKMJIGGFBN08DB,新盛段,67.97,都市：住,1,1,全筆移轉,00310024
RPQNMLKMJIGGFBN08DB,新盛段,.12,都市：住,35,1,持分移轉,00310031
RPQNMLKMJIGGFBN08DB,新盛段,11.57,都市：住,315,8,持分移轉,00310016
RPQNMLKMJIGGFBN08DB,新盛段,11.41,都市：住,315,8,持分移轉,00310017
RPSNMLKMJIGGFBN28DB,新盛段,65.04,都市：住,1,1,全筆移轉,00310041
RPSNMLKMJIGGFBN28DB,新盛段,.12,都市：住,35,1,持分移轉,00310031
RPSNMLKMJIGGFBN28DB,新盛段,11.57,都市：住,315,8,持分移轉,00310016
RPSNMLKMJIGGFBN28DB,新盛段,11.41,都市：住,315,8,持分移轉,00310017
