編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLOJLHHGFDH77DA,草湳坡段埔心小段,671.00,都市：其他:住宅區,1,1,全筆移轉,00200011
RPPOMLSJLHHGFFH58EA,龍友段,508.02,都市：其他:公園用地,24600,659,持分移轉,08980000
RPROMLOKKHHGFAH87EA,東國段,1.81,都市：其他:停車場用地,50000,57,持分移轉,06680000
RPPNMLNKKHHGFHH08DA,山福段,2.33,都市：其他:道路用地,648,60,持分移轉,03270000
RPPNMLNKKHHGFHH08DA,山福段,3.15,都市：其他:道路用地,648,60,持分移轉,03280000
RPPNMLNKKHHGFHH08DA,山福段,2.47,都市：其他:道路用地,648,60,持分移轉,03290000
RPPNMLNKKHHGFHH08DA,山福段,15.70,都市：其他:道路用地,648,60,持分移轉,03410000
RPORMLSJKHHGFAH08DA,埔子段北門埔子小段,3.59,都市：其他:商業區,700000,2215,持分移轉,00690008
RPORMLSJKHHGFAH08DA,埔子段北門埔子小段,.01,都市：其他:廣場用地(兼供捷運系統使用),700000,2215,持分移轉,00690018
RPRPMLQKKHHGFCH28DA,中興段,150.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03660000
RPUOMLTJKHHGFGH09DA,六和段,95.17,都市：其他:農業區,1,1,全筆移轉,00700000
RPTOMLPKKHHGFEH58EA,水尾段,20.00,都市：其他:乙種工業區,3033,20,持分移轉,15010000
RPRNMLRKKHHGFFH58EA,大庄段,32.08,非都市：特定農業區 ; 非都市編定：農牧用地,10000,1080,持分移轉,15040005
RPSNMLMLKHHGFFH28EA,興豐段,57.83,都市：其他:第二種住宅區,1,1,全筆移轉,26420006
RPPQMLOKKHHGFEH18DA,蘆興段,42.33,都市：其他:農業區,30,1,持分移轉,00850000
RPQQMLOKKHHGFEH28DA,蘆興段,77.18,都市：其他:農業區,360,33,持分移轉,00840000
RPXNMLRJKHHGFCH68DA,南龍段,50.85,都市：其他:住宅區,44,2,持分移轉,07480000
RPXNMLRJKHHGFCH68DA,南龍段,5.91,都市：其他:農業區,44,2,持分移轉,08230002
RPQNMLMJLHHGFGH97DA,新北段,18.16,非都市：特定農業區 ; 非都市編定：水利用地,86400,91,持分移轉,10100000
RPXSMLMJLHHGFHH66DA,兔子坑段,601.27,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07510002
RPWSMLMJLHHGFHH56DA,兔子坑段,200.42,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07510001
