編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPORMLPKQHHGFBA97EA,坡道平面,0,29.14,地下一樓
RPXNMLOKJIHGFFA18EA,塔式車位,1200000,,
RPSOMLLKJIHGFCA07DA,坡道平面,2500000,,地下二樓
RPTOMLLKJIHGFDA27DA,坡道平面,2650000,40.15,地下二樓
RPSPMLLKJIHGFCA17DA,坡道平面,1500000,,地下一樓
RPPNMLQKJIHGFCA27EA,塔式車位,1500000,,
RPUNMLPKJIHGFEA77DA,坡道平面,2000000,31.99,地下四樓
RPSOMLKKJIHGFAA76DA,其他,1680000,4.27,地下一樓
RPQPMLQKJIHGFEA77EA,坡道平面,3100000,56.75,地下三樓
RPRNMLOKJIHGFFA47DA,坡道平面,3200000,30.03,地下二樓
RPXNMLRJKIHGFCA18EA,升降平面,1720000,,地下三樓
RPURMLLJJIHGFDA57DA,坡道平面,2700000,33.91,地下四樓
RPPNMLNJJIHGFDA86DA,坡道平面,0,,地下二樓
RPSSMLLKIIHGFDA57EA,坡道平面,1850000,37.80,地下三樓
RPPNMLLLJIHGFDA96EA,坡道平面,0,,地下三樓
RPPNMLLLJIHGFDA96EA,坡道平面,0,,地下三樓
RPTNMLMLJIHGFDA47EA,升降機械,0,,地下三樓
RPPOMLPKJIHGFBA07DA,升降平面,0,,地下二樓
RPPOMLPKJIHGFBA07DA,升降機械,0,,地下三樓
RPWPMLNKRHHGFCA58EA,升降平面,1310000,52.18,地下二樓
RPTNMLSKJIHGFCA77DA,升降平面,2080000,,地下三樓
RPWNMLOKJIHGFFA97DA,塔式車位,1100000,13.81,
RPWNMLPKJIHGFDA87DA,塔式車位,2000000,15.07,
RPPOMLOKJIHGFCA07DA,坡道平面,0,34.53,地下一樓
RPQNMLOLJIHGFBA07DA,升降機械,0,,地下二樓
RPPOMLMLJIHGFCA96DA,坡道平面,1600000,40.95,地下二樓
RPPPMLMLJIHGFCA07DA,坡道平面,2550000,24.27,地下二樓
RPUNMLNLJIHGFAA27DA,坡道機械,1050000,,地下五樓含以下
RPWNMLNLJIHGFCA67DA,坡道平面,3400000,37.43,地下三樓
RPTNMLSLJIHGFDA08EA,坡道平面,2400000,37.44,地下三樓
RPTNMLSLJIHGFDA08EA,坡道平面,2400000,37.44,地下三樓
RPRQMLNKRHHGFCA18EA,坡道平面,2500000,36.49,地下一樓
RPRQMLNKRHHGFCA18EA,坡道平面,2500000,36.49,地下一樓
RPQNMLPLJIHGFCA37EA,升降機械,1600000,25.35,地下二樓
RPQNMLPLJIHGFCA37EA,升降機械,1600000,25.28,地下三樓
RPPOMLOLJIHGFCA27EA,坡道平面,2300000,,地下二樓
RPRNMLOLJIHGFDA37DA,坡道機械,750000,15.05,地下五樓含以下
